bookmaker,league,era_bin,sample_size,logloss_closing,brier_closing,accuracy,coverage_rate,avg_overround,overround_std,total_matches_in_context
b365,I1,2008-2012,591,0.9859524603101094,0.5879416985464171,0.5363790186125211,0.9966273187183811,1.0666821759793526,0.007402172580733331,593
bw,I1,2008-2012,590,0.9879027440649082,0.589742820899076,0.5288135593220339,0.9949409780775716,1.0889379752729464,0.011661159266568877,593
iw,I1,2008-2012,588,0.9848107428673039,0.5873342372379436,0.5374149659863946,0.9915682967959528,1.1070840186213307,0.010143157554028635,593
lb,I1,2008-2012,591,0.9867302125439054,0.5889642639720873,0.5313028764805414,0.9966273187183811,1.0983000136723653,0.029203019875721083,593
wh,I1,2008-2012,591,0.9851626140296353,0.5878391644061037,0.5363790186125211,0.9966273187183811,1.087651933001749,0.028475053518915588,593
sj,I1,2008-2012,592,0.98652856911529,0.5883516769527911,0.5304054054054054,0.9983136593591906,1.0766895963151326,0.01830983263106574,593
vc,I1,2008-2012,581,0.9886586622487309,0.5904722817030903,0.5301204819277109,0.9797639123102867,1.069732893475378,0.03403352616469737,593
b365,I1,2013-2017,568,0.9812989624562695,0.5875898412700047,0.5088028169014085,1.0,1.0542505960770205,0.007226822876285007,568
bw,I1,2013-2017,568,0.981274971601218,0.5873290442269635,0.5,1.0,1.0599669200127317,0.012189881739333669,568
iw,I1,2013-2017,565,0.9845020061292635,0.5893414051584828,0.5097345132743363,0.9947183098591549,1.0733336407242657,0.011144942621202476,568
lb,I1,2013-2017,568,0.982484116387199,0.5882659043076726,0.5105633802816901,1.0,1.0595343161048663,0.008515978831086832,568
ps,I1,2013-2017,568,0.979259261633917,0.586720532589385,0.5140845070422535,1.0,1.0203439363894127,0.0018609005077701302,568
wh,I1,2013-2017,566,0.9828677367230345,0.5881384985934831,0.5017667844522968,0.9964788732394366,1.0628202551714672,0.022213730632052658,568
vc,I1,2013-2017,568,0.9800987938997199,0.5869922117733191,0.5123239436619719,1.0,1.033152674737969,0.009412404077518232,568
b365,I1,2018-2022,192,0.8998498451445099,0.5255081986884086,0.6041666666666666,1.0,1.0523575141794013,0.005555705174317773,192
bw,I1,2018-2022,192,0.900862111525439,0.5257802308927335,0.5989583333333334,1.0,1.0524561953009444,0.006626071952107322,192
iw,I1,2018-2022,192,0.9041162080385771,0.528380928505473,0.59375,1.0,1.056406504227356,0.002849747654408301,192
lb,I1,2018-2022,192,0.901782321056222,0.5269345513310367,0.6041666666666666,1.0,1.0628029200689333,0.008772443083117054,192
ps,I1,2018-2022,191,0.9015375876240341,0.5271443694000922,0.5968586387434555,0.9947916666666666,1.0254304432432186,0.0030012647302430193,192
wh,I1,2018-2022,192,0.8990988004084457,0.5253837336895099,0.609375,1.0,1.0613011572475874,0.004304275201059581,192
vc,I1,2018-2022,192,0.8945917468669773,0.5233873303430149,0.5989583333333334,1.0,1.0401101812966305,0.005035013882470473,192
b365,I1,2023-2024,380,0.9667770132446788,0.5760426054929491,0.55,1.0,1.0539357876605973,0.005904453535747344,380
bw,I1,2023-2024,370,0.9664716667010136,0.5757769427618955,0.5486486486486486,0.9736842105263158,1.0582721846468848,0.006914556408758034,380
iw,I1,2023-2024,180,0.948490238903246,0.5597209720831111,0.5888888888888889,0.47368421052631576,1.0505452191322042,0.0039074330085134504,380
ps,I1,2023-2024,380,0.9672014231185425,0.5764692271163583,0.5473684210526316,1.0,1.0344112510895314,0.005691214474126893,380
wh,I1,2023-2024,380,0.968526038233421,0.5770430262216583,0.5421052631578948,1.0,1.07738922449267,0.024114776744585766,380
vc,I1,2023-2024,380,0.9634851364411412,0.5750647746550598,0.5473684210526316,1.0,1.0819638952594655,0.02018866093481201,380
b365,SP1,2003-2007,545,1.025244676731957,0.6150291659866765,0.48073394495412847,0.990909090909091,1.0975225587603594,0.02368013298183018,550
bw,SP1,2003-2007,170,1.0080016354461139,0.6013348656035927,0.49411764705882355,0.3090909090909091,1.1019782807543417,0.0019050943569627482,550
iw,SP1,2003-2007,546,1.0258989865592447,0.6149254073498507,0.47985347985347987,0.9927272727272727,1.1286715302547299,0.011307640232173068,550
lb,SP1,2003-2007,546,1.0314860528359868,0.6188209040459043,0.46886446886446886,0.9927272727272727,1.123078338684569,0.0037729462125513868,550
wh,SP1,2003-2007,450,1.035290107679827,0.6221167096704893,0.47333333333333333,0.8181818181818182,1.124841114189106,0.00251976739835619,550
sj,SP1,2003-2007,170,1.009310778044696,0.6023033961672914,0.48823529411764705,0.3090909090909091,1.1001513430676115,0.0033718013341662387,550
vc,SP1,2003-2007,170,1.0100666255387463,0.6026660411063739,0.48823529411764705,0.3090909090909091,1.1101141047354675,0.005985114576371201,550
b365,SP1,2008-2012,970,0.9601327037405726,0.5694671709249132,0.565979381443299,1.0,1.0650205124254257,0.004183940614832198,970
bw,SP1,2008-2012,970,0.9641965127989373,0.5720879029697323,0.5597938144329897,1.0,1.0941273721864069,0.012967230189516689,970
iw,SP1,2008-2012,970,0.9626954484194606,0.5708308949913162,0.5577319587628866,1.0,1.0974147297702563,0.015923230191113844,970
lb,SP1,2008-2012,970,0.9672769594017108,0.5742558630344871,0.5597938144329897,1.0,1.1215311834199284,0.008375690156415943,970
wh,SP1,2008-2012,970,0.9646798121460898,0.5723936969636315,0.5577319587628866,1.0,1.1110439337793017,0.01963525649662308,970
sj,SP1,2008-2012,970,0.9610116413937753,0.5700276834175809,0.5577319587628866,1.0,1.0703391408320808,0.015449614412060752,970
vc,SP1,2008-2012,970,0.9600733693877315,0.569860906412575,0.5628865979381443,1.0,1.0916153240446242,0.017607620083604645,970
