match_idx,y,w_b365,w_bw,w_ps,w_wh,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq,pH_static,pD_static,pA_static
1361,2,0.2913951723614468,0.1502031198821386,0.31658826808663443,0.2418134396697801,0.2164244769112602,0.23949764617723607,0.5440778769115038,0.21638344609253576,0.2397995642426655,0.5438169896647987,0.21638387668293996,0.23979818740697653,0.5438179359100834
1362,2,0.28927390812858994,0.15032457128598056,0.31549114043679655,0.24491038014863284,0.2852317964309605,0.285957633653186,0.4288105699158534,0.2860639019585718,0.28580294549833574,0.42813315254309253,0.2860590725074402,0.2858034301654455,0.4281374973271142
1363,0,0.289270905816069,0.15029988763723742,0.3155039079769415,0.24492529856975206,0.6235047087325578,0.2170735751256544,0.15942171614178785,0.6227139047546467,0.21723624451489718,0.16004985073045597,0.6227176198808101,0.21723548260921674,0.1600468975099732
1364,2,0.2892737254963504,0.15032306930748077,0.3154919173177217,0.24491128787844715,0.5726787866227417,0.26182905723705496,0.16549215614020335,0.5729829164030308,0.26166429015407533,0.16535279344289391,0.5729813959971416,0.2616646182974086,0.16535398570544985
1365,2,0.2892748800132735,0.15033256512534868,0.31548700574408906,0.24490554911728865,0.41871095423614096,0.2889768375276004,0.2923122082362585,0.4191425977709627,0.2893567558822748,0.2915006463467625,0.41914009532705976,0.289354400534511,0.2915055041384293
1366,0,0.2913947254525911,0.15019942544057824,0.3165901958482321,0.2418156532585986,0.2211611202983138,0.2807674792420438,0.4980714004596425,0.220380113995906,0.2818182325127704,0.4978016534913235,0.220385330392868,0.2818112072443545,0.49780346236277734
1367,0,0.2892709262661023,0.1503000557137621,0.3155038210383746,0.24492519698176093,0.7572695949006149,0.15491783780824125,0.08781256729114377,0.7555429470748972,0.1556476685119238,0.08880938441317894,0.7555531249490591,0.1556428790681802,0.0888039959827606
1368,2,0.28927277942755564,0.15031528973355915,0.31549594123838653,0.24491598960049876,0.46745152584678923,0.26459760891865997,0.2679508652345508,0.46687156052473533,0.26445316901365007,0.2686752704616146,0.46687527098857723,0.26445455617829505,0.2686701728331278
1369,0,0.2913943043772477,0.15019594488902724,0.3165920120113798,0.24181773872234538,0.634377605265857,0.21393960431860495,0.15168279041553806,0.6342859252175762,0.21416200176813438,0.15155207301428938,0.6342861438846039,0.21416067056005592,0.1515531855553402
1370,2,0.2913946940628751,0.15019916596630045,0.31659033124243924,0.24181580872838515,0.3391340015513431,0.3023371586040495,0.3585288398446074,0.339704100860955,0.30190256334748816,0.3583933357915569,0.3397011404074972,0.30190481337252145,0.35839404621998133
1371,2,0.2913945077858886,0.15019762619683677,0.31659113469833544,0.24181673131893924,0.1640074570351822,0.2295989400243088,0.6063936029405089,0.16494597935642558,0.2286703148905533,0.6063837057530211,0.16493944422297904,0.2286765786566085,0.6063839771204125
1372,0,0.29139277034731914,0.15018326753966335,0.31659862717131154,0.24182533494170613,0.8040893589178163,0.13322325977684593,0.06268738130533777,0.8023149642935826,0.134243771154538,0.0634412645518795,0.8023253360134365,0.13423783254565946,0.06343683144090394
1373,1,0.2913927997575576,0.15018351054797452,0.3165985003661468,0.24182518932832106,0.32914162842623573,0.27931034256217474,0.3915480290115895,0.3281723003863321,0.2788189442614227,0.3930087553522452,0.32817801198414037,0.2788219688499755,0.3930000191658841
1374,2,0.2913946695418922,0.15019896327172635,0.3165904370089168,0.24181593017746472,0.28340977084956614,0.3005588464518203,0.41603138269861356,0.28432028508510576,0.29988461632669533,0.41579509858819896,0.28431448710968316,0.29988862143910283,0.41579689145121407
1375,0,0.29139448782233895,0.15019746118147226,0.3165912208039084,0.24181683019228045,0.7387665916480164,0.17579407257064092,0.08543933578134273,0.7376562024715889,0.17562992267899288,0.08671387484941818,0.7376628834428939,0.17563089129800055,0.08670622525910548
1376,0,0.2874173678013846,0.15004452462359957,0.3174206760973477,0.2451174314776681,0.2783300278267581,0.2919413281011945,0.4297286440720475,0.2787781366727146,0.29217038179607624,0.42905148153120914,0.27877531961842356,0.2921676312586999,0.42905704912287657
1377,1,0.2855945988235915,0.15713640447089233,0.3117858385674512,0.2454831581380649,0.5371121437739603,0.25762831323774293,0.20525954298829677,0.5358672237670389,0.2580423431449353,0.20609043308802574,0.5358763304677768,0.25803943427450166,0.20608423525772157
1378,1,0.28770432664615486,0.15702073573113273,0.312884995097671,0.24238994252504142,0.3096088488586744,0.27664913726412016,0.4137420138772055,0.3094397702701728,0.27741436576680745,0.4131458639630198,0.3094408264261561,0.27740944149499447,0.41314973207884936
1379,2,0.28770608659809105,0.15703805762643538,0.3128761340189614,0.24237972175651215,0.18960287926582076,0.2761467222333538,0.5342503985008255,0.18970118090574892,0.27666553975295527,0.5336332793412959,0.1897004723603439,0.27666156806906816,0.5336379595705879
1380,0,0.28770197580321677,0.15699761180301988,0.312896824546486,0.24240358784727736,0.6777283783602768,0.21221431993445486,0.11005730170526838,0.6761295442872443,0.212287880330254,0.1115825753825018,0.676141976835895,0.21228604271615895,0.11157198044794606
1381,1,0.2855945772247065,0.1571361934526514,0.31178594558350875,0.24548328373913345,0.5412683942659335,0.26630409394951404,0.1924275117845523,0.5392367309642913,0.26733894589088697,0.19342432314482189,0.5392498860258245,0.26733246259105775,0.19341765138311776
1382,0,0.2855970317605319,0.1571601821637827,0.3117737801060678,0.24546900596961752,0.4714273474601725,0.28897269032046474,0.2395999622193628,0.4706071443501981,0.2891775609555375,0.24021529469426445,0.47061275093531935,0.28917627460935497,0.2402109744553258
1383,0,0.28559498686569995,0.1571401958095391,0.31178391582817383,0.24548090149658722,0.5648006445941403,0.24824173813184924,0.1869576172740105,0.5632354991655268,0.24933220110397994,0.18743229973049327,0.5632465376726622,0.24932379637862295,0.1874296659487149
1384,2,0.2855955730047004,0.15714592342615366,0.31178101114294826,0.24547749242619768,0.05749367492365844,0.1232437380505369,0.8192625870258047,0.05715572842275091,0.12317923978712254,0.8196650317901265,0.057157457779711665,0.12317950347067029,0.8196630387496181
1385,2,0.285596986958647,0.15715974415651354,0.3117740022308011,0.24546926665403843,0.22040036589477874,0.26229498158241005,0.5173046525228113,0.22048487860748608,0.2620238325301636,0.5174912888623503,0.2204842417059445,0.26202604755069797,0.5174897107433576
1386,0,0.2855959230788472,0.15714934472213035,0.31177927608812517,0.24547545611089727,0.3286418377578845,0.29551688407275534,0.37584127816936025,0.32972714325643215,0.2948294776911727,0.37544337905239517,0.32971963624714085,0.29483389939849014,0.375446464354369
1387,0,0.2877058629205756,0.15703585564889286,0.31287726043724623,0.24238102099328537,0.763811320700916,0.15724218171087637,0.07894649758820776,0.7635712589288012,0.1569993704211396,0.07942937065005913,0.7635721638584853,0.15700159631682772,0.07942623982468693
1388,2,0.28770392661906763,0.15701679978520997,0.31288700857370333,0.24239226502201916,0.40948415175713304,0.29791624849425485,0.29259959974861216,0.4086534079329678,0.2971342563901322,0.29421233567689997,0.4086588588186298,0.2971399611411094,0.29420118004026086
1389,1,0.2877060795109904,0.1570379878557989,0.31287616970997434,0.24237976292323632,0.3828840492410319,0.2775891419565325,0.3395268088024356,0.38276409584601495,0.2769718477097603,0.3402640564442248,0.382764762797934,0.27697615827172134,0.3402590789303447
1390,1,0.28770493052625834,0.15702667828488964,0.3128819551395584,0.2423864360492935,0.6110900879586929,0.24085493448555306,0.14805497755575397,0.6101731075715544,0.24075128233218504,0.1490756100962605,0.6101792973937047,0.24075222153222245,0.14906848107407283
1391,1,0.2877055762986657,0.15703303422681442,0.3128787037362819,0.24238268573823793,0.38692972466238795,0.28789555927050864,0.3251747160671035,0.3868903495889536,0.28691861229319615,0.3261910381178502,0.3868903676450107,0.2869250181766382,0.32618461417835115
1392,0,0.28559537100163424,0.15714394939144058,0.3117820122461775,0.24547866736074775,0.5536828118863589,0.25146680775580355,0.19485038035783755,0.5532074962353126,0.25223437241871755,0.1945581313459698,0.5532098840931173,0.2522294139867853,0.19456070192009742
1393,0,0.28559486171134274,0.1571389729522484,0.31178453598691996,0.2454816293494889,0.5842789787366256,0.23569437640278026,0.1800266448605941,0.583549744636229,0.23525926983950624,0.18119098552426482,0.5835557510356593,0.2352609199139267,0.181183329050414
1394,2,0.28770435283154205,0.15702099339014008,0.31288486328976634,0.24238979048855153,0.21602187906946227,0.274458470125374,0.5095196508051638,0.21524811074649042,0.27426258883044613,0.5104893004230635,0.2152532461523817,0.2742637755176038,0.5104829783300145
1395,1,0.28770423306439424,0.15701981492105427,0.31288546614715484,0.24239048586739667,0.48216014211489633,0.2675481135584126,0.2502917443266911,0.482552160592159,0.2667991672590543,0.2506486721487867,0.48254913435117736,0.26680425799962587,0.25064660764919666
